Date,BDI_Value
2009/3/31,1615
2009/4/30,1786
2009/5/31,3494
2009/6/30,3757
2009/7/31,3350
2009/8/31,2421
2009/9/30,2220
2009/10/31,3103
2009/11/30,3887
2009/12/31,3005
2010/1/31,2848
2010/2/28,2738
2010/3/31,2998
2010/4/30,3354
2010/5/31,4078
2010/6/30,2406
2010/7/31,1967
2010/8/31,2713
2010/9/30,2446
2010/10/31,2678
2010/11/30,2099
2010/12/31,1773
2011/1/31,1107
2011/2/28,1251
2011/3/31,1530
2011/4/30,1269
2011/5/31,1480
2011/6/30,1413
2011/7/31,1264
2011/8/31,1619
2011/9/30,1899
2011/10/31,1965
2011/11/30,1846
2011/12/31,1738
2012/1/31,680
2012/2/29,750
2012/3/31,934
2012/4/30,1155
2012/5/31,923
2012/6/30,1004
2012/7/31,897
2012/8/31,703
2012/9/30,766
2012/10/31,1026
2012/11/30,1086
2012/12/31,699
2013/1/31,760
2013/2/28,757
2013/3/31,910
2013/4/30,863
2013/5/31,809
2013/6/30,1171
2013/7/31,1062
2013/8/31,1132
2013/9/30,2003
2013/10/31,1504
2013/11/30,1821
2013/12/31,2277
2014/1/31,1110
2014/2/28,1258
2014/3/31,1362
2014/4/30,943
2014/5/31,934
2014/6/30,850
2014/7/31,755
2014/8/31,1147
2014/9/30,1063
2014/10/31,1428
2014/11/30,1153
2014/12/31,782
2015/1/31,608
2015/2/28,540
2015/3/31,602
2015/4/30,591
2015/5/31,589
2015/6/30,779
