Date,Value
2015-11-30,0.732
2015-10-31,0.69
2015-09-30,0.662
2015-08-31,0.669
2015-07-31,0.673
2015-06-30,0.691
2015-05-31,0.676
2015-04-30,0.67
2015-03-31,0.67
2015-02-28,0.689
2015-01-31,0.692
2014-12-31,0.7
2014-11-30,0.717
2014-10-31,0.723
2014-09-30,0.746
2014-08-31,0.737
2014-07-31,0.758
2014-06-30,0.742
2014-05-31,0.739
2014-04-30,0.75
2014-03-31,0.733
2014-02-28,0.732
2014-01-31,0.731
2013-12-31,0.735
2013-11-30,0.729
2013-10-31,0.734
2013-09-30,0.741
2013-08-31,0.737
2013-07-31,0.721
2013-06-30,0.723
2013-05-31,0.702
2013-04-30,0.724
2013-03-31,0.714
2013-02-28,0.708
2013-01-31,0.715
2012-12-31,0.714
2012-11-30,0.704
2012-10-31,0.685
2012-09-30,0.684
2012-08-31,0.683
2012-07-31,0.681
2012-06-30,0.681
2012-05-31,0.677
2012-04-30,0.696
2012-03-31,0.7
2012-02-29,0.718
2012-01-31,0.739
2011-12-31,0.729
2011-11-30,0.752
2011-10-31,0.767
2011-09-30,0.719
2011-08-31,0.715
2011-07-31,0.716
2011-06-30,0.755
2011-05-31,0.767
2011-04-30,0.734
2011-03-31,0.745
2011-02-28,0.747
2011-01-31,0.742
2010-12-31,0.728
2010-11-30,0.71
2010-10-31,0.714
2010-09-30,0.723
2010-08-31,0.743
2010-07-31,0.749
2010-06-30,0.739
2010-05-31,0.746
2010-04-30,0.759
2010-03-31,0.764
2010-02-28,0.759
2010-01-31,0.754
2009-12-31,0.751
2009-11-30,0.768
2009-10-31,0.751
2009-09-30,0.76
2009-08-31,0.752
2009-07-31,0.756
2009-06-30,0.766
2009-05-31,0.773
2009-04-30,0.757
2009-03-31,0.774
2009-02-28,0.783
2009-01-31,0.797
2008-12-31,0.813
2008-11-30,0.82
2008-10-31,0.856
2008-09-30,0.853
2008-08-31,0.854
2008-07-31,0.795
2008-06-30,0.753
2008-05-31,0.704
2008-04-30,0.608
2008-03-31,0.584
2008-02-29,0.583
2008-01-31,0.568
2007-12-31,0.551
2007-11-30,0.544
2007-10-31,0.555
2007-09-30,0.546
2007-08-31,0.551
2007-07-31,0.547
2007-06-30,0.529
2007-05-31,0.544
2007-04-30,0.556
2007-03-31,0.548
2007-02-28,0.554
2007-01-31,0.563
2006-12-31,0.555
2006-11-30,0.555
2006-10-31,0.568
2006-09-30,0.55
2006-08-31,0.565
2006-07-31,0.561
2006-06-30,0.549
2006-05-31,0.549
2006-04-30,0.538
2006-03-31,0.534
2006-02-28,0.534
2006-01-31,0.532
2005-12-31,0.524
2005-11-30,0.53
2005-10-31,0.541
2005-09-30,0.544
2005-08-31,0.532
2005-07-31,0.553
2005-06-30,0.547
2005-05-31,0.552
2005-04-30,0.584
2005-03-31,0.57
2005-02-28,0.575
2005-01-31,0.597
2004-12-31,0.572
2004-11-30,0.572
2004-10-31,0.569
2004-09-30,0.565
2004-08-31,0.556
2004-07-31,0.56
2004-06-30,0.538
2004-05-31,0.528
2004-04-30,0.503
2004-03-31,0.504
2004-02-29,0.487
2004-01-31,0.482
2003-12-31,0.482
2003-11-30,0.49
2003-10-31,0.463
2003-09-30,0.461
2003-08-31,0.454
2003-07-31,0.451
2003-06-30,0.428
2003-05-31,0.429
2003-04-30,0.44
2003-03-31,0.44
2003-02-28,0.447
2003-01-31,0.441
2002-12-31,0.458
2002-11-30,0.461
2002-10-31,0.466
2002-09-30,0.471
2002-08-31,0.482
2002-07-31,0.475
2002-06-30,0.47
2002-05-31,0.472
2000-04-30,0.49
2000-03-31,0.481
2000-02-29,0.492
2000-01-31,0.499
1999-12-31,0.502
1999-11-30,0.488
1999-10-31,0.511
1999-09-30,0.547
1999-08-31,0.557
1999-07-31,0.55
1999-06-30,0.553
1999-05-31,0.551
1999-04-30,0.548
1999-03-31,0.544
1999-02-28,0.54
1999-01-31,0.551
1998-12-31,0.543
1998-11-30,0.539
1998-10-31,0.542
1998-09-30,0.544
1998-08-31,0.536
1998-07-31,0.54
1998-06-30,0.536
1998-05-31,0.541
1998-04-30,0.544
1998-03-31,0.545
1998-02-28,0.547
1998-01-31,0.546
1997-12-31,0.575
1997-11-30,0.572
1997-10-31,0.568
1997-09-30,0.564
1997-08-31,0.569
1997-07-31,0.564
1997-06-30,0.558
1997-05-31,0.563
1997-04-30,0.558
1997-03-31,0.564
1997-02-28,0.565
1997-01-31,0.56
1996-12-31,0.546
1996-11-30,0.552
1996-10-31,0.555
1996-09-30,0.54
1996-08-31,0.541
1996-07-31,0.537
1996-06-30,0.537
1996-05-31,0.548
1996-04-30,0.538
1996-03-31,0.556
1996-02-29,0.552
1996-01-31,0.552
1995-12-31,0.553
1995-11-30,0.535
1995-10-31,0.535
1995-09-30,0.523
1995-08-31,0.526
1995-07-31,0.519
1995-06-30,0.518
1995-05-31,0.518
1995-04-30,0.515
1995-03-31,0.511
1995-02-28,0.518
1995-01-31,0.523
