,,Early,2èÊ,,,early * later,,Later,2èÊ
22.93,,22.93,525.7849,,,354.2685,,15.45,238.7025
15.45,,15.45,238.7025,,,194.8245,,12.61,159.0121
12.61,,12.61,159.0121,,,161.9124,,12.84,164.8656
12.84,,12.84,164.8656,,,197.4792,,15.38,236.5444
15.38,,15.38,236.5444,,,206.5534,,13.43,180.3649
13.43,,13.43,180.3649,,,155.5194,,11.58,134.0964
11.58,,11.58,134.0964,,,174.858,,15.1,228.01
15.1,,15.1,228.01,,,224.537,,14.87,221.1169
14.87,,14.87,221.1169,,,221.563,,14.9,222.01
14.9,,14.9,222.01,,,226.778,,15.22,231.6484
15.22,,15.22,231.6484,,,245.1942,,16.11,259.5321
16.11,,16.11,259.5321,,,300.4515,,18.65,347.8225
18.65,,18.65,347.8225,,,331.0375,,17.75,315.0625
17.75,,17.75,315.0625,,,324.825,,18.3,334.89
18.3,,18.3,334.89,,,341.844,,18.68,348.9424
18.68,,18.68,348.9424,,,363.1392,,19.44,377.9136
19.44,,19.44,377.9136,,,390.1608,,20.07,402.8049
20.07,,20.07,402.8049,,,428.2938,,21.34,455.3956
21.34,,21.34,455.3956,,,433.4154,,20.31,412.4961
20.31,,20.31,412.4961,,,396.6543,,19.53,381.4209
19.53,,19.53,381.4209,,,387.8658,,19.86,394.4196
19.86,,19.86,394.4196,,,374.361,,18.85,355.3225
18.85,,18.85,355.3225,,,325.5395,,17.27,298.2529
17.27,,17.27,298.2529,,,295.8351,,17.13,293.4369
17.13,,17.13,293.4369,,,287.784,,16.8,282.24
16.8,,16.8,282.24,,,272.16,,16.2,262.44
16.2,,16.2,262.44,,,289.332,,17.86,318.9796
17.86,,17.86,318.9796,,,311.1212,,17.42,303.4564
17.42,,17.42,303.4564,,,287.9526,,16.53,273.2409
16.53,,16.53,273.2409,,,256.215,,15.5,240.25
15.5,,15.5,240.25,,,240.56,,15.52,240.8704
15.52,,15.52,240.8704,,,225.6608,,14.54,211.4116
14.54,,14.54,211.4116,,,200.2158,,13.77,189.6129
13.77,,13.77,189.6129,,,194.7078,,14.14,199.9396
14.14,,14.14,199.9396,,,231.6132,,16.38,268.3044
16.38,,16.38,268.3044,,,295.1676,,18.02,324.7204
18.02,,18.02,324.7204,,,323.2788,,17.94,321.8436
17.94,,17.94,321.8436,,,349.4712,,19.48,379.4704
19.48,,19.48,379.4704,,,410.4436,,21.07,443.9449
21.07,,21.07,443.9449,,,423.9284,,20.12,404.8144
20.12,,20.12,404.8144,,,403.406,,20.05,402.0025
20.05,,20.05,402.0025,,,396.589,,19.78,391.2484
19.78,,19.78,391.2484,,,367.5124,,18.58,345.2164
18.58,,18.58,345.2164,,,363.9822,,19.59,383.7681
19.59,,19.59,383.7681,,,393.759,,20.1,404.01
20.1,,20.1,404.01,,,399.186,,19.86,394.4196
19.86,,19.86,394.4196,,,419.046,,21.1,445.21
21.1,,21.1,445.21,,,482.346,,22.86,522.5796
22.86,,22.86,522.5796,,,505.4346,,22.11,488.8521
22.11,,22.11,488.8521,,,450.8229,,20.39,415.7521
20.39,,20.39,415.7521,,,375.7877,,18.43,339.6649
18.43,,18.43,339.6649,,,335.426,,18.2,331.24
18.2,,18.2,331.24,,,303.94,,16.7,278.89
16.7,,16.7,278.89,,,308.115,,18.45,340.4025
18.45,,18.45,340.4025,,,503.8695,,27.31,745.8361
27.31,,27.31,745.8361,,,915.1581,,33.51,1122.9201
33.51,,33.51,1122.9201,,,1207.7004,,36.04,1298.8816
36.04,,36.04,1298.8816,,,1165.1732,,32.33,1045.2289
32.33,,32.33,1045.2289,,,881.9624,,27.28,744.1984
27.28,,27.28,744.1984,,,688.2744,,25.23,636.5529
25.23,,25.23,636.5529,,,516.7104,,20.48,419.4304
20.48,,20.48,419.4304,,,407.552,,19.9,396.01
19.9,,19.9,396.01,,,414.517,,20.83,433.8889
20.83,,20.83,433.8889,,,442.2209,,21.23,450.7129
21.23,,21.23,450.7129,,,428.6337,,20.19,407.6361
20.19,,20.19,407.6361,,,432.066,,21.4,457.96
21.4,,21.4,457.96,,,464.166,,21.69,470.4561
21.69,,21.69,470.4561,,,474.7941,,21.89,479.1721
21.89,,21.89,479.1721,,,508.5047,,23.23,539.6329
23.23,,23.23,539.6329,,,521.7458,,22.46,504.4516
22.46,,22.46,504.4516,,,437.97,,19.5,380.25
19.5,,19.5,380.25,,,366.405,,18.79,353.0641
18.79,,18.79,353.0641,,,357.1979,,19.01,361.3801
19.01,,19.01,361.3801,,,359.6692,,18.92,357.9664
18.92,,18.92,357.9664,,,382.7516,,20.23,409.2529
20.23,,20.23,409.2529,,,424.4254,,20.98,440.1604
20.98,,20.98,440.1604,,,469.5324,,22.38,500.8644
22.38,,22.38,500.8644,,,487.4364,,21.78,474.3684
21.78,,21.78,474.3684,,,464.7852,,21.34,455.3956
21.34,,21.34,455.3956,,,466.9192,,21.88,478.7344
21.88,,21.88,478.7344,,,474.5772,,21.69,470.4561
21.69,,21.69,470.4561,,,441.1746,,20.34,413.7156
20.34,,20.34,413.7156,,,394.7994,,19.41,376.7481
19.41,,19.41,376.7481,,,369.3723,,19.03,362.1409
19.03,,19.03,362.1409,,,382.3127,,20.09,403.6081
20.09,,20.09,403.6081,,,408.2288,,20.32,412.9024
20.32,,20.32,412.9024,,,411.48,,20.25,410.0625
20.25,,20.25,410.0625,,,403.9875,,19.95,398.0025
19.95,,19.95,398.0025,,,380.8455,,19.09,364.4281
19.09,,19.09,364.4281,,,341.5201,,17.89,320.0521
17.89,,17.89,320.0521,,,322.1989,,18.01,324.3601
18.01,,18.01,324.3601,,,315.175,,17.5,306.25
17.5,,17.5,306.25,,,317.625,,18.15,329.4225
18.15,,18.15,329.4225,,,301.4715,,16.61,275.8921
16.61,,16.61,275.8921,,,241.0111,,14.51,210.5401
14.51,,14.51,210.5401,,,218.0853,,15.03,225.9009
15.03,,15.03,225.9009,,,222.1434,,14.78,218.4484
14.78,,14.78,218.4484,,,216.9704,,14.68,215.5024
14.68,,14.68,215.5024,,,241.0456,,16.42,269.6164
16.42,,16.42,269.6164,,,293.7538,,17.89,320.0521
17.89,,17.89,320.0521,,,340.9834,,19.06,363.2836
19.06,,19.06,363.2836,,,374.529,,19.65,386.1225
19.65,,19.65,386.1225,,,361.167,,18.38,337.8244
18.38,,18.38,337.8244,,,320.731,,17.45,304.5025
17.45,,17.45,304.5025,,,309.214,,17.72,313.9984
17.72,,17.72,313.9984,,,320.2004,,18.07,326.5249
18.07,,18.07,326.5249,,,310.0812,,17.16,294.4656
17.16,,17.16,294.4656,,,309.5664,,18.04,325.4416
18.04,,18.04,325.4416,,,335.0028,,18.57,344.8449
18.57,,18.57,344.8449,,,344.2878,,18.54,343.7316
18.54,,18.54,343.7316,,,368.946,,19.9,396.01
19.9,,19.9,396.01,,,392.826,,19.74,389.6676
19.74,,19.74,389.6676,,,364.203,,18.45,340.4025
18.45,,18.45,340.4025,,,319.7385,,17.33,300.3289
17.33,,17.33,300.3289,,,312.2866,,18.02,324.7204
18.02,,18.02,324.7204,,,328.5046,,18.23,332.3329
18.23,,18.23,332.3329,,,317.7489,,17.43,303.8049
17.43,,17.43,303.8049,,,313.5657,,17.99,323.6401
17.99,,17.99,323.6401,,,342.3497,,19.03,362.1409
19.03,,19.03,362.1409,,,358.7155,,18.85,355.3225
18.85,,18.85,355.3225,,,359.8465,,19.09,364.4281
19.09,,19.09,364.4281,,,407.1897,,21.33,454.9689
21.33,,21.33,454.9689,,,501.255,,23.5,552.25
23.5,,23.5,552.25,,,497.495,,21.17,448.1689
21.17,,21.17,448.1689,,,432.2914,,20.42,416.9764
20.42,,20.42,416.9764,,,434.946,,21.3,453.69
21.3,,21.3,453.69,,,466.47,,21.9,479.61
21.9,,21.9,479.61,,,524.943,,23.97,574.5609
23.97,,23.97,574.5609,,,596.3736,,24.88,619.0144
24.88,,24.88,619.0144,,,589.9048,,23.71,562.1641
23.71,,23.71,562.1641,,,598.2033,,25.23,636.5529
25.23,,25.23,636.5529,,,634.0299,,25.13,631.5169
25.13,,25.13,631.5169,,,557.3834,,22.18,491.9524
22.18,,22.18,491.9524,,,465.1146,,20.97,439.7409
20.97,,20.97,439.7409,,,413.109,,19.7,388.09
19.7,,19.7,388.09,,,410.154,,20.82,433.4724
20.82,,20.82,433.4724,,,400.9932,,19.26,370.9476
19.26,,19.26,370.9476,,,378.6516,,19.66,386.5156
19.66,,19.66,386.5156,,,392.217,,19.95,398.0025
19.95,,19.95,398.0025,,,395.01,,19.8,392.04
19.8,,19.8,392.04,,,422.334,,21.33,454.9689
21.33,,21.33,454.9689,,,430.6527,,20.19,407.6361
