Date,BCI_Value
2015-10-31,1549.0
2015-09-30,1936.0
2015-08-31,1071.0
2015-07-31,2209.0
2015-06-30,1292.0
2015-05-31,810.0
2015-04-30,565.0
2015-03-31,475.0
2015-02-28,521.0
2015-01-31,679.0
2014-12-31,474.0
2014-11-30,2151.0
2014-10-31,3552.0
2014-09-30,1915.0
2014-08-31,2627.0
2014-07-31,1195.0
2014-06-30,1871.0
2014-05-31,1395.0
2014-04-30,1600.0
2014-03-31,2573.0
2014-02-28,2084.0
2014-01-31,1524.0
2013-12-31,4078.0
2013-11-30,3089.0
2013-10-31,2245.0
2013-09-30,3853.0
2013-08-31,2243.0
2013-07-31,1881.0
2013-06-30,2165.0
2013-05-31,1336.0
2013-04-30,1273.0
2013-03-31,1249.0
2013-02-28,1249.0
2013-01-31,1468.0
2012-12-31,1235.0
2012-11-30,2199.0
2012-10-31,2419.0
2012-09-30,1621.0
2012-08-31,1172.0
2012-07-31,1194.0
2012-06-30,1190.0
2012-05-31,1319.0
2012-04-30,1496.0
2012-03-31,1412.0
2012-02-29,1531.0
2012-01-31,1447.0
2011-12-31,3287.0
2011-11-30,3298.0
2011-10-31,3132.0
2011-09-30,3136.0
2011-08-31,2598.0
2011-07-31,1749.0
2011-06-30,2036.0
2011-05-31,1874.0
2011-04-30,1564.0
2011-03-31,1768.0
2011-02-28,1310.0
2011-01-31,1351.0
2010-12-31,2346.0
2010-11-30,2910.0
2010-10-31,4262.0
2010-09-30,3370.0
2010-08-31,3516.0
2010-07-31,1922.0
2010-06-30,2711.0
2010-05-31,5217.0
2010-04-30,3936.0
2010-03-31,3425.0
2010-02-28,3174.0
2010-01-31,3494.0
2009-12-31,3887.0
2009-11-30,6189.0
2009-10-31,5047.0
2009-09-30,2846.0
2009-08-31,3946.0
2009-07-31,5385.0
2009-06-30,7241.0
2009-05-31,6125.0
2009-04-30,2348.0
2009-03-31,2066.0
