Date,Index
2015-10-31,669.0
2015-09-30,703.0
2015-08-31,925.0
2015-07-31,899.0
2015-06-30,715.0
2015-05-31,647.0
2015-04-30,625.0
2015-03-31,650.0
2015-02-28,515.0
2015-01-31,585.0
2014-12-31,887.0
2014-11-30,986.0
2014-10-31,892.0
2014-09-30,1051.0
2014-08-31,970.0
2014-07-31,716.0
2014-06-30,675.0
2014-05-31,830.0
2014-04-30,919.0
2014-03-31,1090.0
2014-02-28,1103.0
2014-01-31,996.0
2013-12-31,1453.0
2013-11-30,1475.0
2013-10-31,1269.0
2013-09-30,1079.0
2013-08-31,939.0
2013-07-31,912.0
2013-06-30,954.0
2013-05-31,871.0
2013-04-30,888.0
2013-03-31,944.0
2013-02-28,764.0
2013-01-31,684.0
2012-12-31,728.0
2012-11-30,766.0
2012-10-31,678.0
2012-09-30,830.0
2012-08-31,857.0
