Date,Open,High,Low,Close,Volume,Adjusted Close
2016-01-31,3016.7,3016.7,3016.7,3016.7,0.0,3016.7
2015-12-31,3539.18,3539.18,3539.18,3539.18,0.0,3539.18
2015-11-30,3445.4,3445.4,3445.4,3445.4,0.0,3445.4
2015-10-31,3382.56,3382.56,3382.56,3382.56,0.0,3382.56
2015-09-30,3052.78,3052.78,3052.78,3052.78,0.0,3052.78
2015-08-31,3205.99,3205.99,3205.99,3205.99,0.0,3205.99
2015-07-31,3663.73,3663.73,3663.73,3663.73,0.0,3663.73
2015-06-30,4277.22,4277.22,4277.22,4277.22,0.0,4277.22
2015-05-31,4611.74,4611.74,4611.74,4611.74,0.0,4611.74
2015-04-30,4441.65,4441.65,4441.65,4441.65,0.0,4441.65
2015-03-31,3747.9,3747.9,3747.9,3747.9,0.0,3747.9
2015-02-28,3310.3,3310.3,3310.3,3310.3,0.0,3310.3
2015-01-31,3210.36,3210.36,3210.36,3210.36,0.0,3210.36
2014-12-31,3234.68,3234.68,3234.68,3234.68,0.0,3234.68
2014-11-30,2682.83,2682.83,2682.83,2682.83,0.0,2682.83
2014-10-31,2420.18,2420.18,2420.18,2420.18,0.0,2420.18
2014-09-30,2363.87,2363.87,2363.87,2363.87,0.0,2363.87
2014-08-31,2217.2,2217.2,2217.2,2217.2,0.0,2217.2
2014-07-31,2201.56,2201.56,2201.56,2201.56,0.0,2201.56
2014-06-30,2048.33,2048.33,2048.33,2048.33,0.0,2048.33
2014-05-31,2039.21,2039.21,2039.21,2039.21,0.0,2039.21
2014-04-30,2026.36,2026.36,2026.36,2026.36,0.0,2026.36
2014-03-31,2033.31,2033.31,2033.31,2033.31,0.0,2033.31
2014-02-28,2056.3,2056.3,2056.3,2056.3,0.0,2056.3
2014-01-31,2033.08,2033.08,2033.08,2033.08,0.0,2033.08
2013-12-31,2115.98,2115.98,2115.98,2115.98,0.0,2115.98
2013-11-30,2220.5,2220.5,2220.5,2220.5,0.0,2220.5
2013-10-31,2141.61,2141.61,2141.61,2141.61,0.0,2141.61
2013-09-30,2174.67,2174.67,2174.67,2174.67,0.0,2174.67
2013-08-31,2098.38,2098.38,2098.38,2098.38,0.0,2098.38
2013-07-31,1993.8,1993.8,1993.8,1993.8,0.0,1993.8
2013-06-30,1979.21,1979.21,1979.21,1979.21,0.0,1979.21
2013-05-31,2300.59,2300.59,2300.59,2300.59,0.0,2300.59
2013-04-30,2177.91,2177.91,2177.91,2177.91,0.0,2177.91
2013-03-31,2236.62,2236.62,2236.62,2236.62,0.0,2236.62
2013-02-28,2365.59,2365.59,2365.59,2365.59,0.0,2365.59
2013-01-31,2385.42,2385.42,2385.42,2385.42,0.0,2385.42
2012-12-31,2269.13,2269.13,2269.13,2269.13,0.0,2269.13
2012-11-30,1980.12,1980.12,1980.12,1980.12,0.0,1980.12
2012-10-31,2068.88,2068.88,2068.88,2068.88,0.0,2068.88
2012-09-30,2086.17,2086.17,2086.17,2086.17,0.0,2086.17
2012-08-31,2047.52,2047.52,2047.52,2047.52,0.0,2047.52
2012-07-31,2103.63,2103.63,2103.63,2103.63,0.0,2103.63
2012-06-30,2225.43,2225.43,2225.43,2225.43,0.0,2225.43
2012-05-31,2372.23,2372.23,2372.23,2372.23,0.0,2372.23
2012-04-30,2396.32,2396.32,2396.32,2396.32,0.0,2396.32
2012-03-31,2262.79,2262.79,2262.79,2262.79,0.0,2262.79
2012-02-29,2428.49,2428.49,2428.49,2428.49,0.0,2428.49
2012-01-31,2292.61,2292.61,2292.61,2292.61,0.0,2292.61
2011-12-31,2199.42,2199.42,2199.42,2199.42,0.0,2199.42
2011-11-30,2333.41,2333.41,2333.41,2333.41,0.0,2333.41
2011-10-31,2468.25,2468.25,2468.25,2468.25,0.0,2468.25
2011-09-30,2359.22,2359.22,2359.22,2359.22,0.0,2359.22
2011-08-31,2567.34,2567.34,2567.34,2567.34,0.0,2567.34
2011-07-31,2701.73,2701.73,2701.73,2701.73,0.0,2701.73
2011-06-30,2762.08,2762.08,2762.08,2762.08,0.0,2762.08
2011-05-31,2743.47,2743.47,2743.47,2743.47,0.0,2743.47
2011-04-30,2911.51,2911.51,2911.51,2911.51,0.0,2911.51
2011-03-31,2928.11,2928.11,2928.11,2928.11,0.0,2928.11
2011-02-28,2905.05,2905.05,2905.05,2905.05,0.0,2905.05
2011-01-31,2790.69,2790.69,2790.69,2790.69,0.0,2790.69
2010-12-31,2808.08,2808.08,2808.08,2808.08,0.0,2808.08
2010-11-30,2820.18,2820.18,2820.18,2820.18,0.0,2820.18
2010-10-31,2978.83,2978.83,2978.83,2978.83,0.0,2978.83
2010-09-30,2655.66,2655.66,2655.66,2655.66,0.0,2655.66
2010-08-31,2638.8,2638.8,2638.8,2638.8,0.0,2638.8
2010-07-31,2637.5,2637.5,2637.5,2637.5,0.0,2637.5
2010-06-30,2398.37,2398.37,2398.37,2398.37,0.0,2398.37
2010-05-31,2592.15,2592.15,2592.15,2592.15,0.0,2592.15
2010-04-30,2870.61,2870.61,2870.61,2870.61,0.0,2870.61
2010-03-31,3109.1,3109.1,3109.1,3109.1,0.0,3109.1
2010-02-28,3051.94,3051.94,3051.94,3051.94,0.0,3051.94
2010-01-31,2989.29,2989.29,2989.29,2989.29,0.0,2989.29
2009-12-31,3277.14,3277.14,3277.14,3277.14,0.0,3277.14
2009-11-30,3195.3,3195.3,3195.3,3195.3,0.0,3195.3
2009-10-31,2995.85,2995.85,2995.85,2995.85,0.0,2995.85
2009-09-30,2779.43,2779.43,2779.43,2779.43,0.0,2779.43
2009-08-31,2667.75,2667.75,2667.75,2667.75,0.0,2667.75
2009-07-31,3412.06,3412.06,3412.06,3412.06,0.0,3412.06
2009-06-30,2959.36,2959.36,2959.36,2959.36,0.0,2959.36
2009-05-31,2632.93,2632.93,2632.93,2632.93,0.0,2632.93
2009-04-30,2477.57,2477.57,2477.57,2477.57,0.0,2477.57
2009-03-31,2373.21,2373.21,2373.21,2373.21,0.0,2373.21
2009-02-28,2082.85,2082.85,2082.85,2082.85,0.0,2082.85
2009-01-31,1990.66,1990.66,1990.66,1990.66,0.0,1990.66
2008-12-31,1820.81,1820.81,1820.81,1820.81,0.0,1820.81
2008-11-30,1871.16,1871.16,1871.16,1871.16,0.0,1871.16
